id,focus,signal,slack,drag,confidence,score,lane
l001,fill risk,35,33,6,25,110,hold
l002,portfolio drift,35,34,6,55,141,watch
l003,quote width,35,35,6,85,172,watch
l004,spread pressure,35,36,18,25,77,hold
l005,fill risk,35,37,18,55,108,hold
l006,portfolio drift,35,38,18,85,139,watch
l007,quote width,35,39,34,25,32,hold
l008,spread pressure,35,40,34,55,63,hold
l009,fill risk,35,41,34,85,94,hold
l010,portfolio drift,60,42,6,25,169,watch
l011,quote width,60,43,6,55,200,ship
l012,spread pressure,60,44,6,85,231,ship
l013,fill risk,60,45,18,25,136,watch
l014,portfolio drift,60,46,18,55,167,watch
l015,quote width,60,47,18,85,198,watch
l016,spread pressure,60,48,34,25,91,hold
l017,fill risk,60,32,34,55,105,hold
l018,portfolio drift,60,33,34,85,136,watch
l019,quote width,85,34,6,25,211,ship
l020,spread pressure,85,35,6,55,242,ship
l021,fill risk,85,36,6,85,273,ship
l022,portfolio drift,85,37,18,25,178,watch
l023,quote width,85,38,18,55,209,ship
l024,spread pressure,85,39,18,85,240,ship
l025,fill risk,85,40,34,25,133,watch
l026,portfolio drift,85,41,34,55,164,watch
l027,quote width,85,42,34,85,195,watch
